nhm_id,byHRU,byHW,hw_id,byHWobs,level
851,1,1,10,0,2
852,1,1,91,1,3
853,1,1,91,1,3
854,1,1,91,1,3
855,1,1,138,0,2
856,1,0,,0,1
857,1,0,,0,1
858,1,1,15,0,2
859,1,0,,0,1
860,1,1,10,0,2
861,1,1,15,0,2
862,1,1,15,0,2
863,1,1,91,1,3
864,1,1,15,0,2
865,1,1,91,1,3
866,1,1,15,0,2
867,1,1,15,0,2
868,1,0,,0,1
869,1,0,,0,1
870,1,1,129,0,2
871,1,1,91,1,3
872,1,0,,0,1
873,1,1,91,1,3
874,1,0,,0,1
875,1,1,129,0,2
876,1,1,91,1,3
877,1,1,138,0,2
878,1,0,,0,1
879,1,1,106,0,2
880,1,1,91,1,3
881,1,1,106,0,2
882,1,1,138,0,2
883,1,1,89,0,2
884,1,1,91,1,3
885,1,1,138,0,2
886,1,0,,0,1
887,1,1,138,0,2
888,1,1,138,0,2
889,1,1,91,1,3
890,1,0,,0,1
891,1,1,91,1,3
892,1,1,91,1,3
893,1,1,91,1,3
894,1,0,,0,1
895,1,0,,0,1
896,1,0,,0,1
897,1,1,129,0,2
898,1,0,,0,1
899,1,1,127,1,3
900,1,1,91,1,3
901,1,0,,0,1
902,1,1,91,1,3
903,1,1,80,0,2
904,1,1,91,1,3
905,1,1,89,0,2
906,1,1,129,0,2
907,1,0,,0,1
908,1,1,127,1,3
909,1,0,,0,1
910,1,1,138,0,2
911,1,0,,0,1
912,1,1,80,0,2
913,1,1,80,0,2
914,1,0,,0,1
915,1,1,127,1,3
916,1,1,69,1,3
917,1,1,69,1,3
918,1,1,127,1,3
919,1,1,137,1,3
920,1,1,137,1,3
921,1,1,137,1,3
922,1,1,69,1,3
923,1,1,127,1,3
924,1,0,,0,1
925,1,1,127,1,3
926,1,1,127,1,3
927,1,1,137,1,3
928,1,1,91,1,3
929,1,0,,0,1
930,1,1,137,1,3
931,1,0,,0,1
932,1,1,137,1,3
933,1,0,,0,1
934,1,1,91,1,3
935,1,1,137,1,3
936,1,0,,0,1
937,1,0,,0,1
938,1,0,,0,1
939,1,0,,0,1
940,1,1,137,1,3
941,1,1,137,1,3
942,1,1,137,1,3
943,1,1,137,1,3
944,1,1,137,1,3
945,1,1,80,0,2
946,1,1,90,0,2
947,1,1,90,0,2
948,1,1,90,0,2
949,1,1,90,0,2
950,1,1,90,0,2
951,1,1,80,0,2
952,1,0,,0,1
953,1,1,91,1,3
954,1,0,,0,1
955,1,0,,0,1
956,1,1,90,0,2
957,1,1,91,1,3
958,1,0,,0,1
959,1,1,88,0,2
960,1,0,,0,1
961,1,0,,0,1
962,1,1,127,1,3
963,1,1,137,1,3
964,1,1,127,1,3
965,1,1,127,1,3
966,1,0,,0,1
967,1,1,127,1,3
968,1,1,88,0,2
969,1,1,137,1,3
970,1,1,127,1,3
971,1,1,137,1,3
972,1,1,127,1,3
973,1,0,,0,1
974,1,0,,0,1
975,1,1,88,0,2
976,1,1,137,1,3
977,1,1,127,1,3
978,1,1,137,1,3
979,1,1,137,1,3
980,1,1,69,1,3
981,1,0,,0,1
982,1,1,69,1,3
983,1,1,88,0,2
984,1,0,,0,1
985,1,1,127,1,3
986,1,1,91,1,3
987,1,1,137,1,3
988,1,0,,0,1
989,1,1,137,1,3
990,1,0,,0,1
991,1,1,137,1,3
992,1,1,137,1,3
993,1,1,137,1,3
994,1,1,137,1,3
995,1,1,137,1,3
996,1,1,137,1,3
997,1,1,127,1,3
998,1,1,137,1,3
999,1,1,137,1,3
1000,1,1,137,1,3
1001,1,1,127,1,3
1002,1,1,137,1,3
1003,1,1,137,1,3
1004,1,1,137,1,3
1005,1,1,127,1,3
1006,1,1,137,1,3
1007,1,1,137,1,3
1008,1,1,137,1,3
1009,1,0,,0,1
1010,1,1,137,1,3
1011,1,1,69,1,3
1012,1,1,137,1,3
1013,1,1,127,1,3
1014,1,1,137,1,3
1015,1,1,137,1,3
1016,1,1,169,0,2
1017,1,1,170,0,2
1018,1,1,169,0,2
1019,1,1,137,1,3
1020,1,1,169,0,2
1021,1,1,169,0,2
1022,1,1,169,0,2
1023,1,1,169,0,2
1024,1,1,169,0,2
1025,1,1,169,0,2
1026,1,1,169,0,2
1027,1,1,169,0,2
1028,1,1,169,0,2
1029,1,0,,0,1
1030,1,1,169,0,2
1031,1,1,169,0,2
1032,1,1,169,0,2
1033,1,1,169,0,2
1034,1,1,169,0,2
1035,1,1,169,0,2
1036,1,1,137,1,3
1037,1,0,,0,1
1038,1,1,170,0,2
1039,1,1,170,0,2
1040,1,1,169,0,2
1041,1,1,69,1,3
1042,1,0,,0,1
1043,1,1,125,0,2
1044,1,1,137,1,3
1045,1,0,,0,1
1046,1,1,137,1,3
1047,1,1,137,1,3
1048,1,1,169,0,2
1049,1,1,169,0,2
1050,1,1,170,0,2
1051,1,1,85,0,2
1052,1,0,,0,1
1053,1,1,85,0,2
1054,1,1,169,0,2
1055,1,0,,0,1
1056,1,0,,0,1
1057,1,0,,0,1
1058,1,0,,0,1
1059,1,1,169,0,2
1060,1,1,125,0,2
1061,1,1,125,0,2
1062,1,1,125,0,2
1063,1,1,169,0,2
1064,1,1,169,0,2
1065,1,1,137,1,3
1066,1,1,169,0,2
1067,1,1,169,0,2
1068,1,1,137,1,3
1069,1,1,137,1,3
1070,1,1,137,1,3
1071,1,1,168,1,3
1072,1,1,125,0,2
1073,1,1,125,0,2
1074,1,1,125,0,2
1075,1,1,125,0,2
1076,1,0,,0,1
1077,1,1,125,0,2
1078,1,1,137,1,3
1079,1,1,104,0,2
1080,1,1,125,0,2
1081,1,1,87,0,2
1082,1,1,125,0,2
1083,1,0,,0,1
1084,1,1,125,0,2
1085,1,1,105,0,2
1086,1,1,105,0,2
1087,1,1,73,0,2
1088,1,1,168,1,3
1089,1,1,87,0,2
1090,1,1,79,0,2
1091,1,1,137,1,3
1092,1,1,168,1,3
1093,1,1,137,1,3
1094,1,1,125,0,2
1095,1,1,168,1,3
1096,1,1,79,0,2
1097,1,1,168,1,3
1098,1,1,73,0,2
1099,1,0,,0,1
1100,1,1,168,1,3
1101,1,1,168,1,3
1102,1,1,168,1,3
1103,1,1,168,1,3
1104,1,1,168,1,3
1105,1,1,168,1,3
1106,1,1,168,1,3
1107,1,1,168,1,3
1108,1,1,126,0,2
1109,1,1,73,0,2
1110,1,1,168,1,3
1111,1,1,168,1,3
1112,1,1,125,0,2
1113,1,1,125,0,2
1114,1,1,125,0,2
1115,1,1,168,1,3
1116,1,1,168,1,3
1117,1,1,168,1,3
1118,1,1,168,1,3
1119,1,1,125,0,2
1120,1,1,168,1,3
1121,1,1,126,0,2
1122,1,1,79,0,2
1123,1,1,168,1,3
1124,1,1,168,1,3
1125,1,1,168,1,3
1126,1,1,168,1,3
1127,1,1,124,1,3
1128,1,1,126,0,2
1129,1,1,124,1,3
1130,1,1,168,1,3
1131,1,1,168,1,3
1132,1,1,168,1,3
1133,1,1,168,1,3
1134,1,1,168,1,3
1135,1,1,73,0,2
1136,1,0,,0,1
1137,1,1,168,1,3
1138,1,1,84,0,2
1139,1,1,73,0,2
1140,1,1,126,0,2
1141,1,1,73,0,2
1142,1,1,73,0,2
1143,1,1,168,1,3
1144,1,1,73,0,2
1145,1,1,168,1,3
1146,1,1,168,1,3
1147,1,1,73,0,2
1148,1,1,168,1,3
1149,1,1,73,0,2
1150,1,1,73,0,2
1151,1,1,168,1,3
1152,1,1,73,0,2
1153,1,1,168,1,3
1154,1,1,125,0,2
1155,1,1,125,0,2
1156,1,1,168,1,3
1157,1,1,73,0,2
1158,1,1,73,0,2
